"sH","sB","etaH","etaB","hdr","pres","b"
0.992868350797022,0.818076544651777,0.976321059160773,0.892766258660828,0.851937601496388,0.0398589299582066,0.0268798113144463
0.957219853222448,0.940201187898684,0.801863454053768,0.819537522730076,0.890725051684724,0.0462851683413496,0.0281158138525303
0.956019023699469,0.99660937505425,0.87557013524645,0.846050480287305,0.936225865312852,0.212177096755106,0.254088282766823
0.911820452852299,0.901907817094727,0.8930777321352,0.818973383540195,0.921085264129968,0.0264043917724873,0.0682917900054434
0.959065801509082,0.87851338836664,0.898824880380991,0.896868925704264,0.949131225353138,0.00434463761290404,0.0178271382715234
0.874237771535308,0.853790426140574,0.959865119525294,0.977918529388417,0.945745473506379,0.0121011481641955,0.136878960148377
0.990669601410317,0.983806335816889,0.958295795612487,0.906566607462366,0.851782010156103,0.0333590848685322,0.066318279804518
0.942479530792559,0.936961758843685,0.831180946623006,0.800642053127134,0.954187134144238,0.164500498507076,0.0572496664392901
0.858820303529749,0.819553920161522,0.847852873852725,0.99142976208978,0.832807231744938,0.0739811395077138,0.128019423664901
0.949647657983843,0.987395160308108,0.835040693413327,0.857278376533262,0.822889887189694,0.375762412571054,0.0481800337264108
0.831353678035736,0.938652257701724,0.85793879792532,0.823670089985694,0.807476534674953,0.102664381311939,0.00353379928696841
0.944573933774388,0.905859630825588,0.981602501265596,0.971034013659817,0.907708085316963,0.111196856681705,0.0454145535482504
0.814302716864894,0.930020409954945,0.988285101294518,0.915496719917624,0.876982507717796,0.050346941822167,0.152546046494423
0.91516515364071,0.922540188012598,0.979265474482719,0.821875446977777,0.800387749368573,0.0598008731216265,0.14074948570008
0.85606385257165,0.948510610915891,0.944926100297008,0.946954777280971,0.837157920683532,0.0284656974867307,0.00178086223585441
0.88423522408867,0.821953050574474,0.904998669478484,0.905682070811714,0.907277240810528,0.0362542016864103,0.0204509681233764
0.990090887415006,0.84543755428105,0.898269960132334,0.977706197715302,0.846696280336442,0.119123616258272,0.0327827055116574
0.93225800803001,0.91282114172047,0.906001836264553,0.86420746235447,0.940633758252828,0.161847655249788,0.0301405681217925
0.885162769588952,0.910679298398706,0.985126625798907,0.975026353546837,0.884217764680786,0.0824157126890921,0.0520745805142937
